URL	Tiêu đề_trang	Section	Mục đích	Nội dung chi tiết	Nguồn hình ảnh	Cột 1	Cột 2	Cột 3	Cột 4	Cột 5	Cột 6	Cột 7	Cột 8	Cột 9	Cột 10	Cột 11	Cột 12	Cột 13	Cột 14	Cột 15	Cột 16	Cột 17	Cột 18	Cột 19	Cột 20
/	Trang Chủ	Trang Chủ – Max Wellness Việt Nam	Giới thiệu tổng quan thương hiệu, các dịch vụ nổi bật và chuyển đổi người dùng về các liệu trình/sản phẩm phù hợp.	Hero Banner: 'Tái tạo sức khỏe từ bên trong' – CTA [Nhận tư vấn miễn phí] [Xem liệu trình]. Giới thiệu thương hiệu: Max Wellness – đối tác y tế từ Mỹ, chuyên cung cấp liệu trình chống lão hóa, truyền IV, tế bào gốc. Chứng nhận: FDA Hoa Kỳ, AABB, sản xuất theo chuẩn cGMP. Các liệu trình nổi bật (hiển thị dạng card): NAD+ truyền tĩnh mạch, Detox phục hồi, Làm trắng da Glutathione, Hỗ trợ tim mạch CoQ10. Form gợi ý liệu trình: Dropdown chọn mục tiêu (Trẻ hóa – Làm đẹp – Detox – Nâng đề kháng), SĐT/Zalo, nút gửi thông tin. Phần testimonial ngắn (nếu có): 'Tôi đã hồi phục năng lượng sau 2 buổi truyền NAD+ tại Max Wellness!' Footer: thông tin liên hệ tại Việt Nam và Hoa Kỳ, Zalo, email, link tới social media (nếu có).	Ảnh phòng lab  Logo thương hiệu, chứng nhận Minh họa liệu trình: dùng lại ảnh từ từng trang NAD, Glutathione, Detox																				
/	Trang Chủ	Hero Banner	Tạo ấn tượng đầu tiên, kêu gọi hành động (CTA)	Tiêu đề lớn: 'Tái tạo sức khỏe từ bên trong'. Phụ đề: 'Giải pháp y tế từ Mỹ: NAD+, Truyền IV, Tế bào gốc'. CTA: [Nhận tư vấn miễn phí] [Khám phá liệu trình].	Ảnh phòng lab hoặc truyền dịch																				
/	Trang Chủ	Giới thiệu Max Wellness	Tạo niềm tin về xuất xứ thương hiệu và chuyên môn	Max Wellness là đối tác y tế từ Mỹ chuyên cung cấp các liệu pháp chăm sóc sức khỏe chuyên sâu như NAD+, Glutathione, Coenzyme Q10 và các dòng truyền IV cao cấp.  Chúng tôi hướng tới việc tối ưu hóa sức khỏe tế bào và cải thiện chất lượng sống bằng công nghệ sinh học và các phác đồ y khoa tiên tiến.	Logo thương hiệu, chứng nhận FDA																				
/	Trang Chủ	Chứng nhận & Quy chuẩn	Khẳng định độ tin cậy và pháp lý	✔️ Sản phẩm nhập khẩu và sản xuất tại Hoa Kỳ ✔️ Đạt chứng nhận FDA (Hoa Kỳ) ✔️ Nhà máy sản xuất theo chuẩn cGMP ✔️ Hợp tác với các phòng Lab và bệnh viện lớn tại Mỹ	Các logo chứng nhận																				
/	Trang Chủ	Liệu trình nổi bật	Dẫn khách về trang dịch vụ/sản phẩm phù hợp	1. 💉 NAD+ IV – trẻ hóa tế bào, cải thiện năng lượng 2. ⚡ Detox rượu – phục hồi gan, tỉnh táo sau tiệc 3. 💎 Truyền trắng Glutathione – da sáng, đẹp, khỏe 4. ❤️ CoQ10 – hỗ trợ tim mạch, phục hồi vận động	Ảnh giới thiệu các liệu trình																				
/	Trang Chủ	Form Gợi ý Liệu trình	Thu thập thông tin khách hàng tiềm năng	Form gồm: - Tên khách hàng - Số điện thoại/Zalo - Mục tiêu quan tâm (Dropdown: Detox | Làm đẹp | Tăng năng lượng | Hỗ trợ gan | Tế bào gốc) - Nút [Gửi tư vấn]	Ảnh nền gradient pastel																				
/	Trang Chủ	Khách hàng nói gì?	Tăng độ tin cậy bằng phản hồi thực tế	"Tôi cảm thấy khỏe lên rõ rệt chỉ sau 1 lần truyền NAD+. Giấc ngủ sâu hơn và tỉnh táo suốt cả tuần!" – Chị L.N (38 tuổi, TP.HCM)  "Mỗi tuần truyền trắng da giúp da tôi đều màu và sáng rõ, không cần makeup nhiều nữa!" – Chị T.T (29 tuổi, Biên Hòa)	hình mô phỏng người dùng																				
/	Trang Chủ	Thông tin liên hệ	Hỗ trợ & kết nối	- 🇻🇳 Hotline VN: +84 0935 671 717 - 🇺🇸 Hotline US: +1 4255 337798 - ✉️ Email: founder@maxwellnessus.com - 🌐 Website: www.maxwellnessus.com - 💬 Zalo/FB: Gắn icon liên kết	Logo nhỏ + footer chuẩn																				
/san-pham/nad-plus		Trang Sản phẩm	Giới thiệu chi tiết về NAD+, công dụng, cơ chế và cách sử dụng.	['NAD+ là coenzyme thiết yếu trong sản xuất năng lượng tế bào, sửa chữa DNA và điều hòa tuổi thọ.', 'Truyền NAD+ IV giúp phục hồi nhanh chóng mức NAD+ bị suy giảm do stress, tuổi tác hoặc bệnh lý.', 'Tác dụng: Tăng năng lượng, cải thiện trí nhớ, làm chậm lão hóa.', 'Liều truyền phổ biến: 250–500mg/lần, có thể kết hợp B12, Glutathione.', 'Lưu ý: Giám sát y tế khi truyền; một số người có thể buồn nôn nhẹ khi truyền nhanh.']	Minh họa sản phẩm																				
/san-pham/glutathione		Trang Sản phẩm	Giới thiệu công dụng làm đẹp, giải độc, bảo vệ gan của Glutathione.	['Glutathione là chất chống oxy hóa nội sinh mạnh nhất cơ thể.', 'Có vai trò làm sáng da, đào thải độc tố, hỗ trợ chức năng gan.', 'Kết hợp truyền Vitamin C tăng hiệu quả trắng da.', 'Thường dùng trong các liệu trình làm đẹp nội sinh, da sạm nám, stress.', 'Liều dùng: 600–1200mg/lần, tuần 1–2 buổi.']	Minh họa sản phẩm																				
